,video_id,comments
12,9uNTBYDa8q8,"['🥰🥰🥰🥰🥰🥰😻😻😻💪💪💪💪💪', 'ala', '😲👋', 'This is mrbeast2😂❤', 'Yessssssssssssssssss', 'Gostaria de ganhar uma casa❤🙏', 'Huh??', 'Yumdkimamijamaiammio❤😢😂😮😅😊', 'Egg', 'Супер колоборация😂']"
13,tRqLAXTVoZw,"['Gostaria de ganhar uma casa❤🙏', 'Egg', 'Those $6400 probably lasted about a week', 'Last guy is still waiting for his turn😂', 'draco wins ha🎉', 'From Australia: saying sixty four hundred dollars instead of six thousand four hundred dollars??? Why?', 'Gracias por existir', '❤❤❤❤', 'give that money to homeless people', 'Ok now do a million dollar.']"
14,lbqfjEp_XWs,"['Gostaria de ganhar uma casa❤🙏', 'Egg', '❤❤❤❤', 'Legend is that stuff came from china.', 'id do it sounds fun!', 'All that for $500 f outta heree', 'Hahahaha Would have done it for a pack of cookies', 'Give the poor lady some more money you it in abundance', 'Bros literally giving side quest now XD😂😂', 'Yes 😮']"
15,0kQKIMMiObs,"['Gostaria de ganhar uma casa❤🙏', 'Egg', 'Someyyone could have gotten seriously hurt here', 'Jimmy is through ok', 'Зу́р😊😊😊', '❤❤❤❤❤', '😂', '❤❤❤❤', 'Jimmy that stumble guys game is so fun', '10 ка кажется уже как то маловато']"
16,W3t7RWXRSLs,"['❤❤❤', 'nothing', 'My Brother is mean', '🎉🎉🎉', 'Takes the money and run', '2', '2', 'Mantap 👍', 'Why rock paper scissors?', 'Im enjoying watching all your videos, new subscriber here\U0001faf6🏼 I am a caregiver here in Israel 🇮🇱 currently suffering from trauma  from hamas-Israel war and want to go home to my family in the Philippines ❤ Hope you can help me 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼']"
17,jnyGfof7Lvs,"['To day was  my birthday', 'No the pineapple house is from fortnite. Fortnite made it!', '🇫🇯🇲🇫', '❤😊🎉', 'Azerbaijan Ganja come on pls', 'Gostaria de ganhar uma casa❤🙏', 'Merhaba Benin telefonum nerede?', '😢send meeeee', 'Love  you.   Mr ,beast', 'Love from srilanka 🇱🇰']"
18,_ljhBopSEVI,"['Hola  queria pedir una ayuda  queria emprender un  proyecto  rescatando mascotas  abandonadas   y queria pedirte  de tu colavoracion  soy se san juan argentina', 'Helo', 'I’m 8!!!!!', 'Your Chanel is soooo goood!!', '\U0001fae1😔😔', 'Cool', '丂나阝丂꒟尺工阝乇', 'Bonjour', 'Louder', 'Louder!!!']"
19,lZIlFyzeZig,"['That was the last print of that buffalo......', ""Next step: Ask McDonald's to create a burger with this wagyu"", 'Gostaria de ganhar uma casa❤🙏', 'Hola Mrbeas quisiera que me ayudarás', 'Next time, make a grilled cheese sandwich with that.', 'Интересно если индусам нельзя есть корову. Можно ли есть 5 касте неприкасаемых на них же вроде не распространяются все эти законы', 'you can get this in Australia for 5 bucks', 'The relationship between Ramsey and Mr. Beast is awesome', 'Зу́р😊😊', 'Quiero 😂😂😂']"
20,UPhxU9J46Qk,"[""Terima kasih orang baik Free Palestine insyaallah Allahhuakhbar Allahuakbar Allahuakbar Allahumma sholli ala Sayyidina Muhammad wa'ala alisaidina Muhamad Allahumma sholli ala Sayyidina Muhammad wa'ala alisaidina Muhamad Allahumma sholli ala Sayyidina Muhammad wa'ala alisaidina Muhamad Free Palestine Aminnnnn Aminnnnn 🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸🇲🇾🇵🇸"", '👋', 'Ooo😮', 'so that’s why it’s so butt', '❤😂E2', '오 비더빙 미스터비스트 낯설어 ㅋㅋㅋㅋㅋ 남도형어딨어•••', 'Honestly Beast Bars suck', '❤❤❤❤❤', '@MrBeast2 hfdhf', '🅃🄷🄰🄽🄺🅂 🅈🄾🅄 ᴍʀ.ʙᴇᴀsᴛ']"
21,Lr9O6b6jBlc,"['부럽다 초콜릿 한국은비쌈 ㅠㅠ', 'They moved to the channel', 'noice', '❤', '❤', 'Emotion', 'I’ve tried it ,and it is the best chocolate I’ve ever had🎉', 'So sorry Mr beast', 'Challenge 24 hours man vs wild', 'Challenge 24 hours man vs wild']"
